anoper,pro_num_prov,pc_num_cant,claper,claobr,num_obras,arecon,numpis,numviv,numapo,numdor,valobr,matpis,matpar,mattec,usoobr,financ
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,500000.0,88,88,01,99,99
2022,1.0,109,01,03,1.0,0.0,0.0,0.0,0.0,0.0,2000000.0,88,01,88,99,99
2022,1.0,109,02,01,1.0,9.0,1.0,0.0,0.0,0.0,1800000.0,22,01,01,99,99
2022,1.0,109,03,02,1.0,0.0,0.0,0.0,0.0,0.0,1700000.0,88,88,01,99,99
2022,1.0,109,01,02,1.0,16.0,1.0,0.0,0.0,0.0,1500000.0,34,98,01,99,99
2022,1.0,109,01,03,1.0,0.0,0.0,0.0,0.0,0.0,3500000.0,88,98,88,99,99
2022,1.0,109,03,03,1.0,0.0,0.0,0.0,0.0,0.0,1200000.0,08,88,88,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,3400000.0,88,01,88,99,99
2022,1.0,109,02,03,2.0,0.0,0.0,0.0,0.0,0.0,2300000.0,88,01,88,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,4000000.0,22,88,88,99,99
2022,1.0,109,01,03,1.0,0.0,0.0,0.0,0.0,0.0,2300000.0,88,01,88,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,1800000.0,88,88,01,99,99
2022,1.0,109,02,01,1.0,8.0,1.0,0.0,0.0,0.0,1400000.0,07,01,01,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,2800000.0,88,88,01,99,99
2022,1.0,109,03,03,1.0,0.0,0.0,0.0,0.0,0.0,1800000.0,99,99,99,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,500000.0,88,08,88,99,99
2022,1.0,109,02,03,1.0,0.0,0.0,0.0,0.0,0.0,1000000.0,88,08,88,99,99
2022,1.0,109,02,01,1.0,10.0,1.0,0.0,0.0,0.0,4500000.0,22,01,01,99,99
2022,1.0,109,03,02,1.0,0.0,0.0,0.0,0.0,0.0,1500000.0,88,88,01,99,99
2022,1.0,109,01,03,1.0,0.0,1.0,0.0,0.0,0.0,500000.0,99,99,99,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,500000.0,88,88,01,99,99
2022,1.0,109,01,03,1.0,0.0,0.0,0.0,0.0,0.0,2700000.0,88,01,88,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,3500000.0,88,88,01,99,99
2022,1.0,109,03,02,1.0,0.0,0.0,0.0,0.0,0.0,5160000.0,22,01,01,99,99
2022,1.0,109,03,01,1.0,0.0,0.0,0.0,0.0,0.0,1000000.0,88,88,01,99,99
